candidate,true_delta_rho,power,se,mean_stat
C-A,0.000000,0.100000,0.047434,0.002116
C-A,0.150000,0.325000,0.074057,0.213124
C-B,0.000000,0.200000,0.063246,0.033229
C-B,0.150000,0.400000,0.077460,0.168171
C-C,0.000000,0.200000,0.063246,0.021438
C-C,0.150000,0.550000,0.078661,0.149290
C-D,0.000000,0.175000,0.060078,0.000208
C-D,0.150000,0.200000,0.063246,0.012265
C-E,0.000000,0.250000,0.068465,0.000568
C-E,0.150000,0.325000,0.074057,0.003157
C-F,0.000000,0.275000,0.070600,0.017987
C-F,0.150000,0.050000,0.034460,-0.013279
