true_delta_rho,n_datasets,mean_delta_hat,sd_delta_hat,mean_lower_bound,p_c1,p_c2,power_c1_c2,p_c3,p_c4,power_confirm
0.000000,40,0.032007,0.236785,-0.206404,0.625000,0.150000,0.150000,0.350000,0.500000,0.075000
0.050000,40,0.063062,0.225419,-0.198981,0.600000,0.200000,0.200000,0.450000,0.475000,0.150000
0.100000,40,0.129251,0.243685,-0.169928,0.675000,0.250000,0.250000,0.550000,0.625000,0.200000
0.150000,40,0.208977,0.206215,-0.085090,0.825000,0.300000,0.300000,0.575000,0.700000,0.200000
0.200000,40,0.217013,0.245004,-0.075832,0.800000,0.425000,0.425000,0.650000,0.825000,0.350000
0.250000,40,0.237828,0.284909,-0.067196,0.775000,0.375000,0.375000,0.625000,0.775000,0.375000
0.300000,40,0.390997,0.241440,0.084312,0.925000,0.600000,0.600000,0.800000,0.975000,0.600000
0.350000,40,0.327402,0.264567,0.030413,0.875000,0.500000,0.500000,0.725000,0.950000,0.500000
0.400000,40,0.432723,0.163306,0.165091,1.000000,0.825000,0.825000,0.950000,0.975000,0.800000
0.450000,40,0.472416,0.227156,0.201390,0.975000,0.775000,0.775000,0.850000,0.975000,0.700000
0.500000,40,0.471623,0.191071,0.160119,1.000000,0.700000,0.700000,0.875000,0.975000,0.675000
