sigma,rebuild_fraction,rebuild_window,R-late-15_ratchet_pct,R-late-15_uninformative_pct,M-flat_ratchet_pct,M-flat_uninformative_pct,S-acc_ratchet_pct,S-acc_uninformative_pct
1.000000,0.800000,5,0.750000,0.000000,0.000000,0.000000,7.000000,0.000000
1.000000,0.800000,7,2.250000,0.000000,0.000000,0.000000,7.000000,0.000000
1.000000,0.800000,10,2.250000,0.000000,0.000000,0.000000,6.750000,0.000000
1.000000,0.900000,5,45.250000,0.000000,0.000000,0.000000,31.250000,0.000000
1.000000,0.900000,7,51.750000,0.000000,0.000000,0.000000,33.500000,0.000000
1.000000,0.900000,10,59.750000,0.000000,0.250000,0.000000,35.750000,0.000000
1.000000,0.950000,5,50.500000,0.000000,0.250000,0.000000,66.000000,0.000000
1.000000,0.950000,7,60.250000,0.000000,0.500000,0.000000,68.250000,0.000000
1.000000,0.950000,10,75.250000,0.000000,0.000000,0.000000,69.000000,0.000000
1.500000,0.800000,5,2.750000,0.000000,0.000000,0.000000,1.000000,0.000000
1.500000,0.800000,7,2.250000,0.000000,0.000000,0.000000,2.750000,0.000000
1.500000,0.800000,10,1.750000,0.000000,0.000000,0.000000,1.500000,0.000000
1.500000,0.900000,5,79.250000,0.000000,0.000000,0.000000,11.750000,0.000000
1.500000,0.900000,7,79.500000,0.000000,0.000000,0.000000,13.000000,0.000000
1.500000,0.900000,10,74.750000,0.000000,0.000000,0.000000,15.750000,0.000000
1.500000,0.950000,5,93.750000,0.000000,1.250000,0.000000,52.500000,0.000000
1.500000,0.950000,7,96.000000,0.000000,0.500000,0.000000,57.000000,0.000000
1.500000,0.950000,10,93.750000,0.000000,0.500000,0.000000,58.500000,0.000000
2.000000,0.800000,5,1.750000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,0.800000,7,2.500000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,0.800000,10,1.750000,0.000000,0.000000,0.000000,0.250000,0.000000
2.000000,0.900000,5,84.000000,0.000000,0.000000,0.000000,7.250000,0.000000
2.000000,0.900000,7,78.250000,0.000000,0.000000,0.000000,10.250000,0.000000
2.000000,0.900000,10,76.250000,0.000000,0.000000,0.000000,11.750000,0.000000
2.000000,0.950000,5,98.000000,0.000000,1.750000,0.000000,49.500000,0.500000
2.000000,0.950000,7,98.000000,0.000000,0.500000,0.000000,42.750000,1.000000
2.000000,0.950000,10,97.750000,0.000000,0.000000,0.000000,44.000000,1.000000
