world,n_series,mean_episodes_detected,mean_scored,mean_censored,rebuild_rate_all_scored,pct_ratchet_signature,pct_uninformative,pct_against_HR,pct_mixed,pct_insufficient,detection_hit_rate,false_alarms_per_series
R-late-10,2000,6.100500,6.069000,0.031500,0.945049,10.450000,0.000000,69.850000,19.700000,0.000000,0.996083,0.124000
R-late-15,2000,6.127500,6.091000,0.036500,0.786406,78.300000,0.000000,7.600000,14.100000,0.000000,0.994333,0.161500
R-late-20,2000,6.134500,6.095000,0.039500,0.763659,90.200000,0.000000,0.650000,9.150000,0.000000,0.976917,0.273000
R-const-05,2000,6.294000,6.207000,0.087000,0.979700,0.650000,0.000000,96.950000,2.300000,0.100000,0.995917,0.318500
R-const-10,2000,6.566000,6.399500,0.166500,0.781233,9.700000,0.000000,67.300000,22.600000,0.400000,0.987833,0.639000
R-const-15,2000,7.066000,6.825000,0.241000,0.358242,3.350000,6.100000,35.100000,54.550000,0.900000,0.960250,1.304500
R-const-20,2000,7.468000,7.166500,0.301500,0.257448,0.500000,12.950000,20.350000,64.450000,1.750000,0.851333,2.360000
R-decl,2000,7.201000,6.920000,0.281000,0.370954,3.700000,5.250000,36.050000,54.400000,0.600000,0.960500,1.438000
M-flat,2000,6.092000,6.061000,0.031000,0.996783,0.050000,0.000000,99.600000,0.350000,0.000000,0.997833,0.105000
M-decl,2000,6.124000,6.090000,0.034000,0.996552,0.000000,0.000000,99.600000,0.400000,0.000000,0.997250,0.140500
S-lin,2000,11.194000,10.080000,1.114000,0.999008,0.050000,0.000000,99.450000,0.200000,0.300000,,11.194000
S-acc,2000,10.946500,9.573000,1.373500,0.870469,12.250000,0.000000,48.650000,38.850000,0.250000,,10.946500
